Address,Price,Neighbourhood,Quadrant,PostalArea,Province,PropertyType,Beds,Baths,SqFt,PricePerSqFt,PriceTier,BedBand,Brokerage
3704 42 St SW,979999,Glenbrook,SW,T3E,AB,House/Town,4,3.5,1813,541,$750K-1M,4,Century 21 Bravo Realty
30 Mahogany Mews SE #415,439900,Mahogany,SE,T3M,AB,Condo/Apt,2,2.0,1029,428,$300K-500K,2,Century 21 Bamber Realty Ltd.
273 Auburn Shores Way SE,950000,Auburn Bay,SE,T3M,AB,House/Town,4,2.5,2545,373,$750K-1M,4,Exp Realty
235 15 Ave SW #404,280000,Beltline,SW,T2R,AB,Condo/Apt,2,2.0,898,312,< $300K,2,RE/MAX Realty Professionals
24 Hemlock Crescent SW #2308,649000,Spruce Cliff,SW,T3C,AB,Condo/Apt,2,2.0,1482,438,$500K-750K,2,Charles
591 Aboyne Crescent NE,434900,Abbeydale,NE,T2A,AB,House/Town,6,2.0,1059,411,$300K-500K,5+,Babych Group Central
3406 64 St NE,419900,Temple,NE,T1Y,AB,House/Town,3,2.5,1218,345,$300K-500K,3,Diamond Realty & Associates Ltd.
10551 Shillington Crescent SW,499900,Southwood,SW,T2W,AB,House/Town,4,2.0,1133,441,$300K-500K,4,Century 21 Elevate Real Estate
928 3 Ave NW #1,269900,Sunnyside,NW,T2N,AB,Condo/Apt,2,1.0,756,357,< $300K,2,Century 21 Bamber Realty Ltd.
61 Royal Elm Green NW,627900,Royal Oak,NW,T3G,AB,House/Town,2,2.5,1303,482,$500K-750K,2,RE/MAX Real Estate (Central)
79 Evansfield Rd NW,910000,Evanston,NW,T3P,AB,House/Town,4,3.5,2500,364,$750K-1M,4,Royal Lepage Benchmark
100 Royal Elm Green NW,939750,Royal Oak,NW,T3G,AB,House/Town,4,3.5,1747,538,$750K-1M,4,RE/MAX Real Estate (Central)
3234 New Brighton Gardens SE,399900,New Brighton,SE,T2Z,AB,House/Town,3,2.5,1125,355,$300K-500K,3,Cir Realty
714 Willow Park Dr SE #53,425000,Willow Park,SE,T2J,AB,Condo/Apt,3,2.5,1353,314,$300K-500K,3,Exp Realty
248 Evergreen Plaza SW,999000,Evergreen,SW,T2Y,AB,House/Town,4,3.5,1835,544,$750K-1M,4,Listed by Mariangela Avila
123 Evansford Rd NW,649000,Evanston,NW,T3P,AB,House/Town,5,3.5,1748,371,$500K-750K,5+,Exp Realty
211 13 Ave NW,600000,Crescent Heights,NW,T2M,AB,House/Town,2,2.0,783,766,$500K-750K,2,RE/MAX House Of Real Estate
24 Hemlock Crescent SW #4205,339900,Spruce Cliff,SW,T3C,AB,Condo/Apt,2,2.0,1086,313,$300K-500K,2,Century 21 Bamber Realty Ltd.
369 Rocky Vista Park NW #103,310000,Rocky Ridge,NW,T3G,AB,Condo/Apt,2,2.0,836,371,$300K-500K,2,Royal Lepage Benchmark
112 Livingston Parade NE,629900,Livingston,NE,T3P,AB,House/Town,4,3.5,1519,415,$500K-750K,4,RE/MAX Landan Real Estate
280 Belmont Blvd SW,739888,Belmont,SW,T2X,AB,House/Town,4,2.5,1796,412,$500K-750K,4,Seller Direct Real Estate
231 Costa Mesa Close NE,499900,Monterey Park,NE,T1Y,AB,House/Town,3,3.0,1066,469,$300K-500K,3,Maxwell Central
1805 26 Ave SW #302,269000,South CA,SW,T2T,AB,Condo/Apt,1,1.0,707,380,< $300K,1,Exp Realty
19 Pensville Rd SE,519900,Penbrooke Meadows,SE,T2A,AB,House/Town,5,2.5,1193,436,$500K-750K,5+,Exp Realty
215 25 Ave SW #403,212000,Mission,SW,T2S,AB,Condo/Apt,1,1.0,563,377,< $300K,1,Real Estate Professionals Inc.
68 Silverado Creek Crescent SW,799999,Silverado,SW,T2X,AB,House/Town,4,3.5,2321,345,$750K-1M,4,RE/MAX Real Estate (Central)
45 Falshire Terrace NE,299900,Falconridge,NE,T3J,AB,House/Town,3,1.5,1001,300,< $300K,3,First Place Realty
56 Prestwick Ave SE,495000,Mckenzie Towne,SE,T2Z,AB,House/Town,3,1.5,1122,441,$300K-500K,3,RE/MAX Realty Professionals
155 Skyview Ranch Way NE #4105,309900,Skyview Ranch,NE,T3N,AB,Condo/Apt,2,2.0,835,371,$300K-500K,2,Exp Realty
22 Aspen Acres Rd SW,1097000,Aspen Woods,SW,T3H,AB,House/Town,3,2.5,2524,435,$1M-2M,3,RE/MAX Realty Professionals
10632 Mapleglen Crescent SE,999900,Maple Ridge,SE,T2J,AB,House/Town,5,4.5,1557,642,$750K-1M,5+,Real Broker
2303 16A St SW,849000,Bankview,SW,T2T,AB,House/Town,5,2.0,1086,782,$750K-1M,5+,Century 21 Bravo Realty
989 Mahogany Blvd SE,595000,Mahogany,SE,T3M,AB,House/Town,4,3.5,1382,431,$500K-750K,4,Exa Realty
225 Magnolia Way SE,639900,Mahogany,SE,Unknown,AB,House/Town,6,5.0,1762,363,$500K-750K,5+,RE/MAX Irealty Innovations
2710 Dovely Park SE,270000,Dover,SE,T2B,AB,House/Town,2,1.0,758,356,< $300K,2,Real Broker
1107 Gladstone Rd NW #503,828345,Hillhurst,NW,T2M,AB,Condo/Apt,2,2.0,1094,757,$750K-1M,2,Bode Platform Inc.
355 Covewood Park NE,575000,Coventry Hills,NE,T3K,AB,House/Town,4,2.5,1306,440,$500K-750K,4,D Gees Realty Inc.
1616 50 Ave SW,825000,Altadore,SW,T2T,AB,House/Town,4,2.0,1282,644,$750K-1M,4,RE/MAX Landan Real Estate
1712 38 St SE #102,169900,Forest Lawn,SE,T2A,AB,Condo/Apt,2,1.0,751,226,< $300K,2,RE/MAX Realty Professionals
1012 18 St NE,624800,Mayland Heights,NE,T2E,AB,House/Town,4,2.0,998,626,$500K-750K,4,Century 21 Bamber Realty Ltd.
12 Taralake Park NE,579000,Taradale,NE,T3J,AB,House/Town,4,2.5,1238,468,$500K-750K,4,Streetwise Realty
915 18 Ave NW,525000,Mount Pleasant,NW,T2M,AB,House/Town,3,1.0,982,535,$500K-750K,3,Real Broker
16 Johnson Place SW,1325000,Garrison Green,SW,T3E,AB,House/Town,4,3.5,2636,503,$1M-2M,4,Cir Realty
412 28 Ave NE,849000,Winston Heights/Mountview,NE,T2E,AB,House/Town,4,2.0,1096,775,$750K-1M,4,RE/MAX House Of Real Estate
137 Erin Meadow Bay SE,429900,Erin Woods,SE,T2B,AB,House/Town,3,2.0,905,475,$300K-500K,3,Royal Lepage Benchmark
4531 7 Ave SE #27,199900,Forest Glen Gardens,SE,T2A,AB,Condo/Apt,3,1.5,996,201,< $300K,3,RE/MAX House Of Real Estate
20 Shawbrooke Ct SW,384900,Shawnessy West,SW,T2Y,AB,House/Town,3,1.5,1027,375,$300K-500K,3,Exp Realty
105 Aspen Ridge Heights SW,4899000,Aspen Woods,SW,T3H,AB,House/Town,6,6.5,5048,970,$2M+,5+,Exp Realty
712 4 St NE #25,229900,Renfrew,NE,T2E,AB,Condo/Apt,2,1.0,817,281,< $300K,2,Maxwell Capital Realty
225 Redstone #203,364900,Redstone,Other,T3N,AB,Condo/Apt,2,2.5,1016,359,$300K-500K,2,Real Broker
1403 18A St NE,449900,Mayland Heights,NE,T2E,AB,House/Town,4,3.0,1020,441,$300K-500K,4,RE/MAX Real Estate (Central)
2218 25 St SW,1149900,Richmond,SW,T3E,AB,House/Town,5,3.5,1871,615,$1M-2M,5+,RE/MAX House Of Real Estate
5848 Bow Crescent NW,3100000,Bowness,NW,T3B,AB,House/Town,6,4.5,4231,733,$2M+,5+,RE/MAX Realty Professionals
647 Skyview Ranch Grove NE,374900,Skyview Ranch,NE,T3R,AB,House/Town,2,2.5,1278,293,$300K-500K,2,Cir Realty
10 Discovery Ridge Close SW #412,539000,Discovery Ridge,SW,T3H,AB,Condo/Apt,2,2.0,1379,391,$500K-750K,2,Century 21 Powerrealty.Ca
